Regcode;Region;FO;IPI.2013;PIM.2013;DDFA.2013;FCI.2012;DLR.2013
1000;Российская Федерация;NA;100,4;101,6;46,3;87891;16142550
1001;Центральный федеральный округ;ЦФО;101,4;102,1;39,1;76709;8299222
31;Белгородская область;ЦФО;102,1;96;43,3;88929;240495
32;Брянская область;ЦФО;96,8;106,6;45,6;36974;50809
33;Владимирская область;ЦФО;108;99,8;43,7;42761;69259
36;Воронежская область;ЦФО;106,1;101,6;43;78223;209873
37;Ивановская область;ЦФО;106,2;103,4;42,2;27353;41361
40;Калужская область;ЦФО;105,9;103,1;35,8;95312;84824
44;Костромская область;ЦФО;104,6;99,9;48,4;32059;33399
46;Курская область;ЦФО;100,8;101,8;47,9;59477;143835
48;Липецкая область;ЦФО;100,3;100,4;49,2;80173;98075
50;Московская область;ЦФО;105,2;103,7;40,5;73822;790946
57;Орловская область;ЦФО;100,4;100,9;48;51928;56039
62;Рязанская область;ЦФО;105,7;102,4;51;58179;73322
67;Смоленская область;ЦФО;104,7;100;47;57714;66245
68;Тамбовская область;ЦФО;106,2;99,3;53,7;76839;82486
69;Тверская область;ЦФО;102,1;99,2;41;60131;56764
71;Тульская область;ЦФО;110,5;101,7;45,3;54637;102962
76;Ярославская область;ЦФО;98,5;101,2;48;63726;105095
77;г. Москва;ЦФО;95,3;102,9;33,2;102374;5993433
1002;Северо-Западный федеральный округ;СЗФО;99,8;103;39;108512;1793541
10;Республика Карелия;СЗФО;94,5;102,1;43,4;53183;26159
11;Республика Коми;СЗФО;102,4;105,1;46,2;262327;26095
83;Ненецкий автономный округ;СЗФО;96,5;103,5;38,8;1385107;1498
29;Архангельская область ;СЗФО;110;100,1;42,9;83062;73040
35;Вологодская область;СЗФО;102,5;101,5;43,1;126129;99195
39;Калининградская область;СЗФО;99,1;100,8;34,7;75471;105106
47;Ленинградская область;СЗФО;95,6;103,2;32,4;189795;200161
51;Мурманская область;СЗФО;99,8;99,6;39,5;92389;27635
53;Новгородская область;СЗФО;105,4;103,1;43,8;71679;33192
60;Псковская область;СЗФО;100,6;99,5;40,4;50682;36551
